id,cuisine
7861,mexican
29248,italian
43142,
7574,italian
8610,
989,
46926,
40816,
39726,
42229,
10474,
22140,
31985,mexican
46165,
20860,
42494,italian
15968,italian
20484,mexican
26661,italian
47182,
22528,indian
3861,italian
1203,southern_us
45040,
33287,
10097,
42005,
12423,
39613,italian
30276,
18686,indian
3031,
40093,mexican
182,
46591,jamaican
4092,greek
13722,italian
44575,
14989,mexican
13270,
25529,
12140,
23127,
13523,
41270,korean
8362,
11735,
27935,
28198,southern_us
37765,
33856,italian
30198,
42521,italian
21567,italian
36995,
24967,italian
45002,
48925,southern_us
36914,
2280,
14729,
4594,
2237,
45631,mexican
2317,
23079,
29333,
48066,mexican
15737,
30580,
1119,
46336,
5026,mexican
10749,
31020,italian
30805,chinese
27653,
35060,
39174,italian
49509,
31784,
31408,italian
36029,
11045,
6561,
26992,southern_us
31179,
35099,italian
11018,
17930,
21302,italian
46352,italian
25132,
7010,mexican
25850,
19601,
7935,italian
34994,mexican
25113,italian
45523,
34977,italian
7124,
27514,
27178,
47880,cajun_creole
29197,
16347,
20333,
29112,
7510,mexican
13897,
35699,italian
20520,
38920,mexican
21775,
37475,indian
40131,mexican
1939,
48268,italian
34815,
13797,italian
39063,italian
29064,
26896,indian
29477,
3352,italian
4966,mexican
7316,
23879,mexican
16525,italian
32843,
39574,
32737,
44788,italian
28772,mexican
34189,
33719,
25846,
1423,
4328,italian
579,italian
5219,italian
2314,
31143,mexican
13409,italian
3281,mexican
15804,mexican
40835,
39262,mexican
37013,italian
14807,chinese
47956,
2580,southern_us
13720,italian
23008,
5951,
39312,mexican
6176,
17617,
57,
43422,
49403,southern_us
44751,
21865,
26584,
39355,italian
14038,mexican
45396,italian
49715,french
41515,french
30445,chinese
4090,
17207,
40376,
19398,mexican
22347,mexican
49671,italian
40854,southern_us
926,italian
47919,italian
20571,
18866,mexican
48742,
14577,
29481,italian
40996,mexican
34470,
31147,
35932,
27221,
48301,italian
29925,italian
48640,chinese
22873,
10565,
15509,southern_us
37569,mexican
13306,
40474,mexican
15182,italian
8609,italian
32168,chinese
1125,
25244,mexican
46889,
13841,
47135,italian
29036,italian
43533,
41631,italian
22124,cajun_creole
18836,mexican
35695,mexican
5141,
41894,
4972,japanese
34195,
14183,italian
15188,italian
8734,italian
30946,italian
5588,
49554,mexican
1270,mexican
1259,
45986,
22351,chinese
300,
9278,
10021,italian
17014,
40855,
18362,italian
16292,
29924,italian
47174,mexican
4856,
15417,italian
19875,
42228,italian
36264,
14571,mexican
23496,indian
43879,
23431,mexican
5499,
247,southern_us
48795,
47113,italian
489,
13036,italian
4838,
40630,italian
17576,french
29972,
8123,korean
35918,indian
42669,italian
24632,
35740,
45670,italian
28041,italian
46688,
10309,italian
15367,
30562,
47151,italian
47300,southern_us
31200,
5749,italian
41807,
13990,
23572,
872,
38085,
5248,
26309,
26880,
41559,
8059,italian
26041,italian
30019,
7207,italian
30309,italian
2092,mexican
8023,
4016,italian
24631,italian
35068,
8523,southern_us
28463,french
8629,
43829,
22129,southern_us
34505,
38200,mexican
36513,
32187,italian
7788,mexican
31130,
40483,
2224,italian
14143,southern_us
22889,
17406,
10451,italian
19844,
23416,southern_us
33874,
39951,
41361,italian
44659,
8836,
21709,italian
22993,
39191,
17182,
20507,southern_us
42397,mexican
18897,italian
3797,
11041,italian
807,
3514,
12936,italian
15050,
43377,
10471,italian
30721,
14333,italian
6260,
7712,
19048,
21455,mexican
18575,
47647,
35947,
14499,
43525,korean
5723,
48497,
43822,
525,italian
30594,
47948,
2099,italian
43863,italian
24711,italian
15230,mexican
21680,
36218,
41622,
34809,
5110,italian
27214,
34803,
36822,italian
6912,italian
20373,mexican
29157,italian
6327,
35502,
8305,chinese
35598,
48538,italian
49358,
44506,southern_us
39146,italian
29270,italian
20560,italian
24169,
41537,
10431,italian
31517,
34049,italian
26964,
49655,
9101,
30377,italian
7046,italian
47969,
18971,
38891,thai
29506,japanese
40305,mexican
21255,mexican
15578,mexican
24894,
32089,
46097,
40982,mexican
12543,
38366,
32925,mexican
17506,
48389,mexican
41804,italian
9961,mexican
24939,italian
39599,southern_us
45838,italian
48875,
25531,italian
3009,
31965,italian
16901,
13370,
2954,
40353,mexican
8207,
10933,italian
38206,italian
14110,
19128,
32616,mexican
27748,italian
31858,italian
20510,southern_us
17602,southern_us
35665,italian
46589,italian
8178,southern_us
34880,italian
42527,
29682,chinese
32166,italian
30343,
15385,
18372,
29211,italian
23269,
4561,
27365,
49032,
22064,chinese
12060,
47834,italian
25815,italian
34036,
19326,
44078,
31090,french
17485,mexican
708,mexican
5350,
29754,
18309,southern_us
46871,mexican
27300,
41890,mexican
49548,
11392,italian
1354,italian
48819,
19097,
42113,
24060,
25849,
4543,italian
25306,italian
41966,
48719,
48191,mexican
8826,italian
42703,
16083,
26613,
28088,
39965,italian
36239,
4322,italian
9951,
3045,mexican
28585,
39841,
25913,mexican
39715,italian
23135,indian
47022,french
24160,italian
18619,italian
12574,italian
22681,french
33692,mexican
538,mexican
22118,
21890,
36340,italian
27973,
12870,mexican
22564,italian
35063,southern_us
7000,
11318,italian
47001,italian
11395,chinese
23507,
47242,italian
48957,
17721,
25138,
47438,italian
47162,
42459,italian
6486,italian
24116,
31596,italian
38887,italian
10665,italian
13712,
2633,italian
35784,chinese
45204,italian
46722,italian
34949,
35321,
46430,
34431,
30890,
42132,
15702,
47719,southern_us
45160,
20600,indian
10800,
30479,
9457,
26571,italian
42942,italian
36635,mexican
43617,italian
16911,chinese
122,
22340,
37007,
23595,
25233,
5503,mexican
47338,italian
44695,
7141,mexican
14564,
19655,
35326,
35922,
28171,
1322,italian
14923,italian
42344,
16380,
15233,
8338,
41014,
30440,
23043,spanish
20788,
14375,italian
1184,italian
34280,
46171,
31834,
14759,
15855,italian
6662,
15056,mexican
34873,italian
20089,
20015,
18402,
6418,italian
1454,italian
14070,
26424,
27349,
26459,
13151,italian
12264,
18366,
46851,
18954,southern_us
39858,mexican
43500,
21656,southern_us
10505,
5313,mexican
28951,italian
19961,italian
1795,
9917,southern_us
26180,southern_us
9726,italian
47689,cajun_creole
7866,
41625,
35160,italian
4430,
39082,indian
46186,italian
11988,
24177,russian
31849,
41194,
36968,
42330,mexican
36791,
19704,mexican
4933,italian
4255,
37105,
35848,
17416,italian
39066,
36270,italian
24406,
20517,chinese
27630,
19670,
4685,
45260,
378,
40841,
27632,mexican
12193,chinese
38047,
10170,
25043,italian
23851,mexican
14743,
13294,
26466,mexican
32002,french
37526,
8888,italian
38945,
38546,mexican
38869,
10556,
3296,mexican
25977,indian
32025,
44087,indian
32762,southern_us
824,southern_us
44636,italian
542,
38218,italian
41930,
1987,indian
37378,
8873,italian
1513,southern_us
44013,
38042,
11576,italian
24510,
823,italian
23443,mexican
34870,mexican
3846,italian
14993,
16854,italian
5886,mexican
33793,italian
2999,indian
20843,mexican
29153,italian
33790,
16516,italian
37887,
18466,italian
48033,mexican
45404,
4175,italian
31986,
38555,italian
26832,italian
19810,
49086,italian
39579,
25551,italian
42549,italian
22052,
45632,
4143,italian
11310,
32839,southern_us
48171,indian
22896,chinese
10878,chinese
31643,chinese
47624,
35141,italian
13498,italian
24566,italian
16533,southern_us
15437,mexican
19426,mexican
32416,indian
2427,jamaican
9178,mexican
40606,italian
28450,mexican
7946,
21756,
17843,italian
44066,mexican
7427,
11297,
42965,
23067,italian
35066,
27938,mexican
39075,mexican
20200,mexican
19823,
12336,
34714,mexican
45388,
25639,
33985,
25524,italian
19641,mexican
11106,italian
22165,italian
35412,
23475,southern_us
1570,
12815,italian
37253,italian
16900,italian
7701,southern_us
49391,italian
1132,
13051,mexican
2284,
21410,indian
25604,
45746,
35911,
26608,southern_us
16991,italian
40657,mexican
47960,italian
38408,
1295,
40139,
38538,southern_us
26420,vietnamese
10326,mexican
5181,
18210,
3241,
27062,
41527,italian
45484,
38755,
47246,
164,
723,italian
299,
1519,italian
34077,
45254,
34760,
11154,southern_us
26274,
15081,italian
45100,southern_us
1417,french
32083,italian
29971,italian
17679,
36539,italian
34975,chinese
4633,
10321,
35565,
26919,
9549,thai
31863,mexican
22053,chinese
19443,
18540,italian
23354,mexican
13859,
23904,italian
6675,mexican
18595,
12967,italian
17283,
23211,moroccan
14358,
31398,italian
42650,
25258,
18457,italian
11810,
9499,
11943,italian
6810,indian
34323,mexican
23296,
45927,italian
45196,korean
19917,italian
20210,italian
41629,
39907,
4956,
37058,italian
20859,mexican
3315,chinese
4401,mexican
21361,
44164,
26391,
47771,southern_us
44140,mexican
43739,
12481,indian
12292,
15965,italian
23409,
39005,
2774,mexican
14529,
16926,southern_us
26890,
9663,mexican
43052,mexican
24193,
5476,mexican
10048,
1981,
12194,french
22202,
7626,
37365,
44144,italian
37723,
47194,
30827,southern_us
33108,mexican
2075,
6326,indian
11083,mexican
30311,
45371,
18232,mexican
9768,mexican
6648,
35650,mexican
23013,chinese
6669,italian
42670,
18155,
44622,
28426,thai
23743,
14176,
9576,
36577,mexican
16671,italian
22964,italian
16424,italian
47225,mexican
17565,
36401,
30314,italian
32982,
21866,
1475,italian
13053,mexican
33983,
24051,
22800,
16561,
2740,
219,
48737,italian
2164,
13579,southern_us
71,mexican
12420,italian
35209,
11472,
43172,
24927,
37102,
10743,
27874,
9565,
21419,
767,italian
28308,
37605,
9558,mexican
31527,french
2419,
7541,
11400,
23487,
8087,
21906,chinese
48830,
37328,
45490,
9710,
16153,italian
39537,
13923,italian
8120,italian
12923,italian
1556,
6871,mexican
34201,
36146,
33170,
20082,italian
26517,
15214,
34092,mexican
40902,japanese
44452,
2083,
44897,
17850,
26693,italian
19618,
35589,mexican
46084,mexican
17256,italian
47570,italian
32796,
27047,mexican
39487,
130,italian
17627,
29072,italian
1108,
22666,italian
41630,italian
27289,mexican
42299,mexican
36078,
7098,
46999,italian
28791,
39576,italian
2447,
22449,
23828,mexican
5660,mexican
47460,
17912,italian
12288,italian
44037,
20875,italian
6500,mexican
13813,italian
4907,
38186,
9816,italian
8170,italian
21681,italian
42384,
35366,
34244,
35421,italian
33457,
28026,italian
38122,italian
21362,mexican
42253,
21994,mexican
34457,
40229,southern_us
10181,italian
38257,
40992,
15617,mexican
34754,
45459,
31295,
44977,
18322,
23257,mexican
10084,italian
16445,
10594,
26828,
47643,italian
49680,
27446,
8731,italian
37341,southern_us
42241,italian
13669,
21403,
688,
23894,
35753,
44692,italian
235,
20982,
10166,italian
2187,
5022,
49037,mexican
44478,
8912,
8919,
23856,italian
14647,italian
48870,
14377,
18548,
39591,southern_us
46746,mexican
31926,
10159,italian
11342,
32421,
19969,
3029,
39565,
7426,filipino
20624,mexican
4385,mexican
18761,
46710,mexican
46241,
14208,italian
29323,
40663,thai
32391,italian
9506,
35402,
48796,italian
4657,
2404,french
36923,italian
41762,indian
19344,mexican
19876,indian
39452,
19209,mexican
35461,italian
5784,
40345,italian
24765,mexican
25563,
40680,
36932,southern_us
28106,italian
12717,
40100,italian
6960,
20724,
24433,italian
32118,italian
22353,italian
23040,
46246,
36642,italian
21579,
24073,
16775,
24732,chinese
24221,
33300,italian
34971,mexican
19777,italian
24337,
24709,
28557,jamaican
8963,
31515,
22575,
11011,italian
42030,mexican
48012,
13623,
49552,
5702,italian
3847,mexican
34221,mexican
4312,italian
35834,
11849,
38290,mexican
3064,
30099,
37354,
27877,italian
45642,
10629,
17557,
3725,italian
49507,southern_us
5560,
42239,
29559,mexican
46028,
26523,italian
28313,mexican
32502,italian
43610,
35563,southern_us
22160,mexican
11258,italian
36220,italian
15974,
30449,japanese
29676,
29951,
2268,mexican
36813,
28096,
40471,mexican
6545,
33598,mexican
22338,
41918,
2133,
42259,italian
11056,mexican
7034,
17040,
35238,
46155,italian
23356,
3909,italian
22107,
1656,italian
9302,italian
19473,
13566,
23424,japanese
4139,
15970,italian
47732,mexican
37251,
44870,southern_us
9773,italian
2131,italian
6381,southern_us
9613,greek
47364,mexican
34376,
26408,italian
4763,italian
18982,
2766,
19247,french
13462,italian
19678,
22814,
18582,italian
3124,
19347,indian
8812,mexican
22037,
15423,
35960,
49336,
1255,
17646,
20631,italian
19492,
22895,indian
18607,italian
34569,
48356,indian
12252,
21071,
22458,
19585,
15597,
15038,
20028,italian
29764,
17206,mexican
40901,
37954,indian
16933,italian
42657,
21846,italian
33834,
25873,
5938,italian
34762,
39835,mexican
5805,southern_us
13914,
45924,italian
41460,
37287,
25059,mexican
34872,
7524,
10427,italian
8014,
14740,
24329,
38514,
12665,southern_us
24655,italian
7078,italian
15995,
15861,italian
30662,mexican
17836,italian
2078,southern_us
3600,
46302,
28375,
34839,
18345,french
23205,mexican
34763,indian
26692,
10317,mexican
11767,
36881,
33468,
20669,
18159,southern_us
22891,italian
39588,italian
35941,italian
15981,
26013,
5076,italian
1573,mexican
39380,chinese
13845,italian
35146,
32924,
9567,italian
35203,italian
39666,southern_us
17786,italian
21936,
8668,
41339,
32268,italian
29706,
42032,
8105,
11218,chinese
7159,
47817,mexican
1572,italian
38720,
14780,italian
31839,
6501,mexican
39533,italian
22820,
9619,french
14025,
19697,
5370,
32639,
15249,
47776,italian
48134,italian
24141,
4117,cajun_creole
20578,italian
47585,
20326,southern_us
43932,
29704,italian
12447,italian
38117,
2684,mexican
25371,
25518,italian
27083,
16073,thai
45667,italian
44188,
44888,
41594,mexican
1061,
6536,italian
31586,italian
9792,greek
40395,mexican
24861,mexican
32253,
31082,
19298,italian
6600,italian
46939,italian
6092,mexican
36600,italian
45979,mexican
46910,
14174,italian
10609,
28647,
19066,
16803,mexican
49114,
14664,
39670,
4583,
31121,
12589,mexican
22551,
11817,
22003,
42091,southern_us
45966,mexican
6811,italian
2711,
44757,italian
5349,chinese
30294,
48944,mexican
44048,
411,southern_us
44998,italian
18078,italian
48533,vietnamese
16485,italian
32939,
11808,
23059,italian
16466,
7315,
13178,mexican
2751,italian
41395,
20534,
12111,
38708,italian
37481,
28048,italian
13123,mexican
2174,italian
17190,
25756,
38180,mexican
26892,
23757,
8553,
36272,
35224,italian
5203,
23565,italian
31420,indian
43491,
38773,italian
15223,italian
17763,mexican
24528,italian
21704,mexican
45329,
48876,mexican
3741,
47710,mexican
9182,mexican
13782,italian
3369,
11985,
39817,italian
26869,
37461,italian
24217,italian
2474,
45929,
12768,
924,mexican
13258,
7955,
37056,
17934,
5843,mexican
46881,southern_us
4049,southern_us
24173,
4683,italian
32612,italian
11314,
13550,mexican
2483,italian
9573,italian
34113,italian
37865,mexican
36951,italian
4703,
10734,
40444,italian
44334,
35991,mexican
34020,
3743,mexican
18305,italian
7877,
10606,french
30584,
9266,southern_us
35196,italian
41070,mexican
25930,
48564,italian
14213,italian
6618,southern_us
18479,southern_us
10279,mexican
30750,
45701,southern_us
22947,italian
6467,mexican
16365,italian
7184,italian
23270,moroccan
41805,mexican
7537,
18616,mexican
42857,mexican
37906,italian
16846,
573,
26657,italian
12408,
38232,
33447,
40227,
35760,southern_us
1385,italian
47866,mexican
30871,
22604,
39397,
38782,mexican
45343,mexican
26112,
10209,french
31702,
37943,italian
23471,
3529,italian
46794,italian
16626,
32361,italian
20932,
11183,japanese
33661,italian
12681,mexican
2450,
23979,southern_us
18465,indian
28234,
47449,
33869,mexican
4924,
18862,italian
30556,mexican
35762,
7396,
21232,
18299,
35468,southern_us
42838,mexican
33972,
46021,italian
1627,
28873,
38927,mexican
25262,italian
19152,italian
11061,
27000,italian
37396,italian
47358,southern_us
47825,southern_us
24681,
37706,mexican
44056,italian
38298,
30788,
36144,
21792,southern_us
31745,
15104,
30589,southern_us
14235,
2608,mexican
34828,
3282,italian
4336,
25666,
17831,
17008,
35845,mexican
19494,southern_us
30797,
33763,italian
19950,
23089,
32074,italian
49640,
8403,italian
15879,
7949,
31483,
32928,chinese
27647,
34616,southern_us
21113,
41599,
23924,
36335,mexican
36194,
10980,mexican
45999,
3943,
188,southern_us
5799,mexican
20964,mexican
2716,mexican
5464,
17640,mexican
39437,mexican
14835,italian
3094,
14826,
30173,italian
37811,
22363,italian
6369,
26850,
48887,italian
44405,southern_us
21477,
32697,italian
38843,mexican
20076,mexican
26429,
35648,
41794,
22100,italian
30216,
17656,
17317,
4928,
43965,
6404,southern_us
12274,
6651,
40406,
40933,
23419,mexican
37867,
28834,italian
23912,italian
4791,mexican
36354,thai
32298,
44577,
48859,
32485,
8394,
7708,
38385,
22622,
29716,italian
44462,mexican
9422,italian
22499,
36,
434,
5479,
42420,italian
47346,italian
44568,mexican
38650,italian
19191,
22848,
17886,
6036,
38608,italian
12890,
15709,
13125,french
48454,southern_us
36627,
47884,
28,italian
45365,mexican
40795,
17651,
1530,
17604,italian
4700,mexican
24972,
23525,mexican
7092,italian
43757,mexican
4808,mexican
7249,italian
27589,southern_us
47523,
44244,italian
10383,
37285,
21332,
7311,mexican
28052,italian
31653,irish
1740,
5484,southern_us
41406,italian
41907,
46515,
38392,
15925,
5094,
31816,mexican
35713,
31296,
41640,italian
22419,
47874,mexican
6570,
6936,
34063,
34141,
44572,
28425,
38481,irish
18955,
46466,
5692,mexican
39836,
33718,italian
36250,italian
286,chinese
29766,italian
20541,indian
31173,southern_us
46440,southern_us
23905,indian
37232,
8517,greek
21249,
32700,
22845,
45461,mexican
1307,mexican
30010,mexican
21646,italian
28148,
26450,
16602,mexican
9928,mexican
27063,italian
22273,
12744,italian
28272,mexican
30350,mexican
23362,indian
13645,mexican
16942,italian
34970,italian
27829,
38058,irish
13256,italian
31859,mexican
43027,
22235,
2933,italian
45981,mexican
11460,
33770,
24399,
8006,
48885,
42585,
40160,
45541,italian
22410,
26226,
4591,
5457,
39085,
24040,
6576,italian
34310,
27350,
9968,mexican
2464,
27952,italian
43388,southern_us
33143,
28083,italian
15927,
10255,southern_us
8011,
5195,cajun_creole
36015,mexican
40910,
11309,
47556,
27958,
27198,italian
643,indian
40853,
15815,
2063,southern_us
19827,
33443,mexican
44632,
26773,italian
3203,indian
32873,mexican
24806,italian
45942,
1324,
32526,french
48093,
48942,
8845,mexican
11546,
44358,mexican
3209,italian
10553,italian
44430,italian
44712,chinese
16351,
44644,italian
31670,
49147,
19750,southern_us
48121,
22722,
9910,
14236,
48341,italian
23190,
20362,chinese
44794,
39419,
13526,mexican
42270,
37208,
33824,mexican
29953,italian
16387,italian
37672,italian
1868,italian
24984,
47128,italian
44303,
20318,
7513,mexican
13261,
19259,
31103,
24037,italian
29984,mexican
28159,italian
5318,italian
23962,
2084,mexican
41793,italian
18960,
17025,
15510,
36832,italian
20643,mexican
4154,
10510,
45117,
43403,
42471,italian
6942,italian
33309,
6689,italian
48687,mexican
9880,mexican
25590,
21842,italian
27151,
565,
21740,italian
42399,italian
35928,
47060,
43147,mexican
16625,mexican
16769,
12515,
14731,
11658,
49467,
19749,italian
39723,mexican
5722,
31967,
39857,
16534,moroccan
27334,
32215,mexican
34903,
24990,
31307,mexican
38874,
24130,cajun_creole
27816,italian
939,
38293,
7889,
22114,italian
24614,cajun_creole
48827,
3387,southern_us
41676,italian
3152,mexican
38805,
27078,italian
34940,
16855,italian
41891,italian
36715,southern_us
49455,italian
26522,italian
28420,italian
329,chinese
18986,italian
31705,southern_us
7402,italian
10212,italian
10640,southern_us
38014,
5172,italian
26986,
5088,
24522,
1900,
4801,southern_us
27932,
30941,italian
42354,
48854,
39058,
34294,italian
46593,
22582,japanese
36937,mexican
34596,
42570,
10147,italian
44796,
46819,southern_us
30905,
34980,spanish
49265,mexican
37563,italian
25673,
14267,
32410,italian
26392,
27384,mexican
43045,
22576,
11597,
22656,italian
47811,
7925,southern_us
14860,italian
27525,mexican
7798,italian
10848,italian
19062,
32224,italian
11529,mexican
12155,
30628,
21909,mexican
14291,mexican
3323,mexican
6502,mexican
25833,
31108,
47484,italian
27396,italian
48147,
10489,italian
12014,
4904,
36607,
12756,
32462,
42204,thai
246,mexican
47061,
15908,italian
29572,
13458,italian
14022,italian
40437,
48136,
17687,mexican
48504,southern_us
22857,
11465,mexican
42107,
12514,
46339,
8383,
27362,
38646,
44084,italian
12946,mexican
11670,mexican
34916,
2944,
33063,
26982,
2231,
5118,
28258,
44113,southern_us
47328,italian
33937,
40399,
23562,mexican
12787,mexican
13992,mexican
38992,mexican
45269,
15211,
34602,italian
41779,
4179,mexican
37925,italian
46161,italian
5512,
27845,
12024,
41072,
17911,italian
4237,mexican
40442,
15522,
6804,italian
43807,italian
21647,french
22758,mexican
32551,
20470,
20842,
43018,italian
45493,
42442,
14655,mexican
32247,cajun_creole
32302,mexican
42075,indian
19949,southern_us
23352,
48549,mexican
15053,
23490,
12080,italian
41992,italian
10618,mexican
2870,italian
49226,
10052,
39400,italian
8410,
15752,
18854,
28448,italian
27260,
1083,
21430,
46343,
12493,italian
14251,italian
37764,italian
3912,
28477,
25100,italian
44515,italian
36019,
44471,italian
27855,southern_us
47538,southern_us
16954,southern_us
5730,french
29892,
25581,
43708,italian
49152,
40984,mexican
13050,
15031,
42841,
16325,
1866,
29547,italian
24281,
49183,
41136,italian
15790,
23832,
4231,southern_us
5306,
40103,mexican
45908,
34333,mexican
19999,mexican
9304,
11613,italian
30183,italian
14480,
26493,
46415,
23012,
2981,
31371,mexican
8119,
48376,italian
42957,mexican
18688,
38876,
11197,italian
48216,
24611,italian
16761,french
47345,
16477,
31855,
403,
48608,
1985,italian
36249,
27201,
22141,
34166,
4721,mexican
44230,
21409,vietnamese
29986,
15401,italian
32341,
46266,mexican
6633,italian
42713,italian
9117,
16266,italian
36470,
16164,
34712,italian
29117,italian
34991,mexican
24906,southern_us
36954,italian
29979,
16710,italian
48056,italian
24035,
32656,southern_us
45875,
1735,mexican
35986,
45005,
46636,southern_us
31507,mexican
31348,italian
28362,chinese
33305,
36747,italian
39897,thai
27450,mexican
49579,mexican
24426,mexican
11507,chinese
6093,southern_us
49338,italian
11560,
49597,
17865,mexican
5995,
9707,
6888,italian
46148,mexican
19940,italian
34637,southern_us
14214,
15805,
34328,italian
27174,italian
24919,italian
33206,
10745,italian
41550,indian
5008,italian
10685,
15287,italian
25701,italian
31525,
27096,
36113,
48480,mexican
1944,italian
26314,
10478,italian
15149,
5024,
1676,indian
2869,mexican
20079,
8053,
6212,
13557,
9735,italian
39956,mexican
21569,
3269,italian
4461,
41598,
44612,mexican
20150,mexican
7278,
35809,
21612,mexican
20357,italian
23355,
27727,italian
34021,italian
9970,
36438,italian
12079,
22380,mexican
28065,mexican
49690,italian
48671,
18509,italian
8903,
23374,mexican
22475,chinese
28418,italian
42625,
44840,italian
42121,southern_us
2243,indian
18032,mexican
19392,
25679,southern_us
11223,
35867,thai
33842,italian
12676,
38377,italian
344,
11864,
16895,mexican
3001,mexican
19195,
3635,
23150,southern_us
17502,
16405,
34160,italian
34495,italian
18377,mexican
18988,cajun_creole
24880,mexican
48302,italian
33358,
20732,
22094,filipino
8638,italian
35556,
27248,
15746,
46404,
23323,italian
39018,
23510,italian
27710,italian
30540,
48945,mexican
37197,
27343,italian
29349,french
38383,
46758,italian
24859,
18292,irish
32450,
35936,mexican
36789,
19804,
16604,mexican
585,italian
29352,mexican
48392,italian
44324,mexican
5012,italian
19487,mexican
17263,
26127,southern_us
39464,italian
4870,italian
16171,italian
308,
19155,
18736,italian
43352,
24652,southern_us
44181,
36237,mexican
30286,
4019,
20111,
35543,mexican
25992,indian
8275,
49613,
45149,italian
38610,
18111,italian
35670,
30349,
12034,
20729,korean
11458,
16423,
47404,
43875,mexican
43513,
21894,
9350,
18519,mexican
4651,italian
14831,
32530,italian
44131,
36724,
20264,
4994,
47875,french
1952,
6792,
44853,mexican
13807,mexican
14303,
27449,mexican
20389,irish
32028,italian
9758,mexican
15295,
14904,
9534,
46950,italian
15648,
44473,chinese
29833,
3015,italian
43675,mexican
3329,southern_us
27359,italian
18163,italian
45238,italian
2146,
17194,italian
15864,thai
6084,
44220,mexican
1843,italian
4777,
27182,southern_us
47648,
30068,
36696,
47909,mexican
19016,italian
32683,italian
224,
2031,
26715,italian
23886,mexican
28724,indian
46037,
38683,
19328,chinese
15324,italian
20480,
43132,mexican
25028,mexican
15859,italian
13023,
27838,
3661,mexican
35313,
45668,
3070,
20607,
33560,
43354,
19935,southern_us
45795,
42932,italian
42059,
47601,
31240,
5339,
8192,
4831,mexican
9134,
49500,italian
45456,indian
47506,
43238,chinese
43910,mexican
36829,
2771,mexican
14712,
37718,southern_us
5264,
26273,mexican
48641,
46990,
26575,mexican
43906,italian
30518,
45950,mexican
15967,
25115,
15112,italian
34860,italian
32100,
11239,mexican
809,
9212,
34741,italian
29409,
39986,italian
21487,cajun_creole
36981,mexican
19115,spanish
37110,italian
36185,
26244,
18026,
36961,
14384,italian
6039,italian
31871,
35841,
16074,italian
39180,southern_us
19331,italian
8658,italian
49574,
25237,mexican
6947,
5309,
35914,mexican
14715,mexican
47994,
11508,italian
41662,
39047,italian
22933,italian
5016,italian
49449,italian
39029,mexican
1721,italian
41864,british
17358,italian
36847,
34812,
5486,italian
2492,
45624,mexican
7576,mexican
34773,
16904,italian
4279,
38068,
7370,mexican
23586,
48790,
26717,
32749,
42536,italian
5372,
37143,
37244,
27674,italian
778,italian
14686,italian
9274,
37769,italian
12871,italian
38528,
32968,
6275,
4732,indian
9452,mexican
29194,italian
16627,mexican
5127,mexican
26447,chinese
11489,thai
23884,
14545,cajun_creole
19620,
9771,
21265,french
38249,southern_us
3483,mexican
21262,mexican
14605,mexican
9448,mexican
15750,
6413,mexican
17585,
10057,
29462,
18943,
22591,mexican
32048,
32249,indian
39578,mexican
21724,
27119,italian
25094,italian
41200,
33033,mexican
21389,
49103,southern_us
12519,
26913,
12460,
3397,mexican
3502,
42877,
249,southern_us
46008,
14185,italian
20873,
11722,southern_us
24883,
3932,mexican
25728,indian
16428,
7887,
48364,
47197,italian
28640,italian
